#id; #statu; #coord; #cycle; 
0; en fuite; {108.73475937430727,79.26115889360146,0.0}; 0
1; en fuite; {150.36336074132646,68.74332692884973,0.0}; 0
2; vivant; {127.69543989845575,80.97979958491672,0.0}; 0
3; paralysé; {146.49994192993265,76.59796601319486,0.0}; 0
4; en fuite; {161.06630646142676,68.27735813342476,0.0}; 0
5; vivant; {185.70589131558512,79.95521741768745,0.0}; 0
6; en fuite; {253.75099569251827,75.30824117101643,0.0}; 0
7; en fuite; {259.85234722133373,83.63545153954908,0.0}; 0
8; en fuite; {266.7070338985007,81.23435550192869,0.0}; 0
9; vivant; {238.3407234974619,72.4850414626058,0.0}; 0
10; paralysé; {365.9372122490748,67.15066670442285,0.0}; 0
11; en fuite; {428.7420604083888,69.66732189462317,0.0}; 0
12; vivant; {446.47136835565334,123.41296650176862,0.0}; 0
13; vivant; {439.06495126943605,122.42373004002714,0.0}; 0
14; en fuite; {454.2095770248665,88.43256038732302,0.0}; 0
15; vivant; {449.49812535480345,72.23018264134016,0.0}; 0
16; vivant; {423.9345586451444,127.46139230117036,0.0}; 0
17; vivant; {332.39452605866774,124.33069093171075,0.0}; 0
18; en fuite; {363.33309433838156,122.6893835761289,0.0}; 0
19; vivant; {278.74677419379304,128.16595699102376,0.0}; 0
20; vivant; {259.90491822236856,127.57646331000689,0.0}; 0
21; vivant; {128.9577489417788,121.518954754349,0.0}; 0
22; en fuite; {124.64952913741732,130.7209583808207,0.0}; 0
23; en fuite; {148.43833156435335,130.67310508638198,0.0}; 0
24; en fuite; {137.56639774093725,136.03729239520985,0.0}; 0
25; vivant; {151.46056767701072,135.52713022878294,0.0}; 0
26; en fuite; {100.90785515030504,121.2836918689643,0.0}; 0
27; paralysé; {394.4379032685204,6.147912931009326,0.0}; 0
28; vivant; {344.55483180744613,13.960580208938886,0.0}; 0
29; vivant; {358.7083161863539,22.297548780203705,0.0}; 0
30; vivant; {361.64139210468943,5.919244056631058,0.0}; 0
31; paralysé; {391.43625256449303,40.74815643641663,0.0}; 0
32; vivant; {175.1481802677597,190.40024002725528,0.0}; 0
33; en fuite; {176.52725944153036,191.1611834895016,0.0}; 0
34; vivant; {117.02022766150228,191.64644374924524,0.0}; 0
35; vivant; {183.5195477031449,188.2557512829632,0.0}; 0
36; vivant; {156.545217771606,177.98988890895063,0.0}; 0
37; vivant; {214.85177815605647,188.97669870128777,0.0}; 0
38; paralysé; {286.04571699896877,157.59195611461638,0.0}; 0
39; vivant; {278.8884924224247,163.09635955192036,0.0}; 0
40; paralysé; {171.873723527138,183.7583912885463,0.0}; 0
41; vivant; {139.64644583413303,178.77343361457991,0.0}; 0
42; vivant; {229.57344314351693,182.9888480469356,0.0}; 0
43; vivant; {216.38678938168846,178.7889729527901,0.0}; 0
44; vivant; {283.12700916837383,84.56777015953652,0.0}; 0
45; paralysé; {350.8196112331196,73.55408150349693,0.0}; 0
46; paralysé; {190.95754143902755,112.22362241706234,0.0}; 0
47; vivant; {148.04857434247089,111.98136071775824,0.0}; 0
48; vivant; {94.63827259460543,100.02259541067315,0.0}; 0
49; vivant; {91.03860412074853,48.034766296612126,0.0}; 0
50; paralysé; {63.793132419576125,44.15372275028979,0.0}; 0
51; vivant; {169.3374961480608,56.7777184257619,0.0}; 0
52; vivant; {289.56639582848726,60.188993545108886,0.0}; 0
53; paralysé; {60.13338956344338,55.72095643263867,0.0}; 0
54; vivant; {133.5449094783029,55.388947587599425,0.0}; 0
55; vivant; {70.1291316671154,44.828790639921124,0.0}; 0
56; vivant; {252.48491259956617,53.19702738772884,0.0}; 0
57; vivant; {207.93673170358045,52.385546326535504,0.0}; 0
58; vivant; {96.39953664612061,61.35067449459072,0.0}; 0
59; en fuite; {236.36493638142778,58.35275530349861,0.0}; 0
60; vivant; {112.92686313770152,44.59728402675274,0.0}; 0
61; vivant; {87.88893094594887,51.29587529438768,0.0}; 0
62; vivant; {149.95397414234026,44.42573724558749,0.0}; 0
63; vivant; {239.65029717112247,51.37492740223722,0.0}; 0
64; paralysé; {295.52378163671113,56.30634306843118,0.0}; 0
65; paralysé; {189.13774039933386,58.10954547895922,0.0}; 0
66; vivant; {85.43148086306208,11.562095213238926,0.0}; 0
67; vivant; {153.1975723495412,15.030851355146218,0.0}; 0
68; vivant; {227.95678563201744,16.12612111986033,0.0}; 0
69; paralysé; {257.55807839503876,12.926438944985943,0.0}; 0
70; paralysé; {97.39320076462275,4.795151599710308,0.0}; 0
71; vivant; {134.4595104331117,10.913258382784424,0.0}; 0
72; vivant; {203.2757872087227,17.716014705624254,0.0}; 0
73; vivant; {246.24294683937939,10.573874757969204,0.0}; 0
74; en fuite; {203.79447489263916,19.074554392314123,0.0}; 0
75; vivant; {265.4119186979125,14.829404360349466,0.0}; 0
76; vivant; {71.99426306097828,19.06628058540466,0.0}; 0
77; paralysé; {56.76760737388997,4.190779074312662,0.0}; 0
78; vivant; {185.25949519507267,5.434143918988701,0.0}; 0
79; vivant; {61.317480473809674,4.318664720135483,0.0}; 0
80; paralysé; {230.98303355303352,17.979575643376464,0.0}; 0
81; vivant; {283.5486069574759,13.304088891612707,0.0}; 0
82; paralysé; {192.5044972337039,13.84105167415834,0.0}; 0
83; vivant; {87.09123771608837,19.36535460259277,0.0}; 0
84; vivant; {292.84497620236465,12.803191027338555,0.0}; 0
85; vivant; {62.61565265945249,10.995608672071096,0.0}; 0
86; vivant; {119.77162396047702,11.596112065007432,0.0}; 0
87; paralysé; {207.3473457299315,14.56769999438833,0.0}; 0
88; paralysé; {187.23870067471455,9.480125237131203,0.0}; 0
89; vivant; {290.03667800534623,15.126689567976147,0.0}; 0
90; vivant; {65.73901802726992,17.330543702328974,0.0}; 0
91; vivant; {209.96010419365842,4.635620210146307,0.0}; 0
92; vivant; {165.76210001062373,17.34343519613098,0.0}; 0
93; en fuite; {225.84367041254183,4.518220397693941,0.0}; 0
94; paralysé; {160.1522865048073,7.830012906712131,0.0}; 0
95; paralysé; {238.1003420445111,8.227872032197359,0.0}; 0
96; vivant; {57.96817658739302,10.224626390661905,0.0}; 0
0; en fuite; {108.58728077217448,79.73640439003678,0.0}; 1
1; en fuite; {150.36336074132646,68.74332692884973,0.0}; 1
2; vivant; {127.69543989845575,80.97979958491672,0.0}; 1
3; paralysé; {146.49994192993265,76.59796601319486,0.0}; 1
4; en fuite; {161.04797185705925,68.7755523325106,0.0}; 1
5; vivant; {185.70589131558512,79.95521741768745,0.0}; 1
6; en fuite; {253.75099569251827,75.30824117101643,0.0}; 1
7; en fuite; {259.85234722133373,83.63545153954908,0.0}; 1
8; en fuite; {266.9973594142067,81.63979866843111,0.0}; 1
9; vivant; {238.79946451719664,72.28771531259997,0.0}; 1
10; paralysé; {365.9372122490748,67.15066670442285,0.0}; 1
11; en fuite; {429.0449105719039,70.06248634830602,0.0}; 1
12; vivant; {446.96251566954163,123.50284933224857,0.0}; 1
13; vivant; {439.06495126943605,122.42373004002714,0.0}; 1
14; en fuite; {454.22679297056555,88.930864764671,0.0}; 1
15; vivant; {449.941999596939,72.45532257594131,0.0}; 1
16; vivant; {423.9345586451444,127.46139230117036,0.0}; 1
17; vivant; {332.39452605866774,124.33069093171075,0.0}; 1
18; en fuite; {363.82750856305194,122.74609690479726,0.0}; 1
19; vivant; {278.74677419379304,128.16595699102376,0.0}; 1
20; vivant; {259.90491822236856,127.57646331000689,0.0}; 1
21; vivant; {129.36687991842402,121.23312284830371,0.0}; 1
22; en fuite; {124.19170697480126,130.9200035915848,0.0}; 1
23; en fuite; {148.43833156435335,130.67310508638198,0.0}; 1
24; en fuite; {137.06997924551223,136.07365602140348,0.0}; 1
25; vivant; {151.46056767701072,135.52713022878294,0.0}; 1
26; en fuite; {101.01364903866158,120.79580145284783,0.0}; 1
27; paralysé; {393.94553661278,6.225415575903994,0.0}; 1
28; vivant; {344.80267858601843,13.528843027768175,0.0}; 1
29; vivant; {358.7083161863539,22.297548780203705,0.0}; 1
30; vivant; {361.64139210468943,5.919244056631058,0.0}; 1
31; paralysé; {391.43625256449303,40.74815643641663,0.0}; 1
32; vivant; {175.47144340971067,190.02182807203235,0.0}; 1
33; en fuite; {176.07910481564255,190.94405158965282,0.0}; 1
34; vivant; {116.85423548082277,191.17681428546376,0.0}; 1
35; vivant; {183.06395876137992,188.05252800985224,0.0}; 1
36; vivant; {156.545217771606,177.98988890895063,0.0}; 1
37; vivant; {214.660884547288,188.51462300313418,0.0}; 1
38; paralysé; {286.04571699896877,157.59195611461638,0.0}; 1
39; vivant; {278.8884924224247,163.09635955192036,0.0}; 1
40; paralysé; {171.873723527138,183.7583912885463,0.0}; 1
41; vivant; {139.64644583413303,178.77343361457991,0.0}; 1
42; vivant; {229.1765789328011,182.68806904335776,0.0}; 1
43; vivant; {216.68495848776405,178.38996685454794,0.0}; 1
44; vivant; {283.12700916837383,84.56777015953652,0.0}; 1
45; paralysé; {351.3188263802255,73.54611275833435,0.0}; 1
46; paralysé; {190.95754143902755,112.22362241706234,0.0}; 1
47; vivant; {148.48978066393101,111.75122945464017,0.0}; 1
48; vivant; {94.68185135934178,100.51830327697769,0.0}; 1
49; vivant; {91.03860412074853,48.034766296612126,0.0}; 1
50; paralysé; {63.793132419576125,44.15372275028979,0.0}; 1
51; vivant; {169.23660646374736,57.26709651591057,0.0}; 1
52; vivant; {289.96749872526993,60.48460769477038,0.0}; 1
53; paralysé; {60.13338956344338,55.72095643263867,0.0}; 1
54; vivant; {133.8618212424381,55.00532319131055,0.0}; 1
55; vivant; {69.65633236132848,44.984333251916524,0.0}; 1
56; vivant; {252.48491259956617,53.19702738772884,0.0}; 1
57; vivant; {207.4635733284854,52.231187407415355,0.0}; 1
58; vivant; {96.27119365044057,60.86962427539914,0.0}; 1
59; en fuite; {236.86448639684298,58.348186533337305,0.0}; 1
60; vivant; {112.92686313770152,44.59728402675274,0.0}; 1
61; vivant; {87.88893094594887,51.29587529438768,0.0}; 1
62; vivant; {150.14073510941267,43.96240792428085,0.0}; 1
63; vivant; {239.65029717112247,51.37492740223722,0.0}; 1
64; paralysé; {295.15021355383396,55.9771776509494,0.0}; 1
65; paralysé; {188.65788403012198,57.97726688732842,0.0}; 1
66; vivant; {85.40681660936933,12.05966599627997,0.0}; 1
67; vivant; {152.80492442793587,14.724934788422336,0.0}; 1
