#id; #coord; #cycle; 
0; {52.76272127995257,18.39666705606343,0.0}; 0
1; {56.114559146117074,102.04997581664155,0.0}; 0
2; {58.06881265673076,97.0209435763619,0.0}; 0
3; {57.9059473870636,105.57471533958791,0.0}; 0
4; {304.3465959767499,4.8307882049063515,0.0}; 0
5; {224.84558986326357,198.85815155284462,0.0}; 0
0; {52.76272127995257,18.39666705606343,0.0}; 1
1; {56.114559146117074,102.04997581664155,0.0}; 1
2; {58.06881265673076,97.0209435763619,0.0}; 1
3; {57.9059473870636,105.57471533958791,0.0}; 1
4; {304.3465959767499,4.8307882049063515,0.0}; 1
5; {224.84558986326357,198.85815155284462,0.0}; 1
0; {52.5,16.434363034569206,0.0}; 2
1; {58.0433023219572,102.5,0.0}; 2
2; {59.99076434293283,97.5,0.0}; 2
3; {59.90126726421023,105.5,0.0}; 2
4; {304.5,6.813430833024242,0.0}; 2
5; {223.5,197.89243837024216,0.0}; 2
0; {52.5,16.434363034569206,0.0}; 3
1; {60.0433023219572,102.5,0.0}; 3
2; {61.99076434293283,97.5,0.0}; 3
3; {61.90126726421023,105.5,0.0}; 3
4; {304.18656916697574,8.5,0.0}; 3
5; {223.5,197.89243837024216,0.0}; 3
0; {52.5,16.434363034569206,0.0}; 4
1; {62.0433023219572,102.5,0.0}; 4
2; {63.99076434293283,97.5,0.0}; 4
3; {63.90126726421023,105.5,0.0}; 4
4; {304.18656916697574,8.5,0.0}; 4
5; {223.5,197.89243837024216,0.0}; 4
0; {52.5,16.434363034569206,0.0}; 5
1; {64.0433023219572,102.5,0.0}; 5
2; {65.99076434293283,97.5,0.0}; 5
3; {65.90126726421023,105.5,0.0}; 5
4; {304.18656916697574,8.5,0.0}; 5
5; {223.5,197.89243837024216,0.0}; 5
0; {52.5,16.434363034569206,0.0}; 6
1; {66.0433023219572,102.5,0.0}; 6
2; {65.99076434293283,97.5,0.0}; 6
3; {65.90126726421023,105.5,0.0}; 6
4; {304.18656916697574,8.5,0.0}; 6
5; {223.5,197.89243837024216,0.0}; 6
0; {52.5,16.434363034569206,0.0}; 7
1; {66.0433023219572,102.5,0.0}; 7
2; {65.99076434293283,97.5,0.0}; 7
3; {65.90126726421023,105.5,0.0}; 7
4; {304.18656916697574,8.5,0.0}; 7
5; {223.5,197.89243837024216,0.0}; 7
0; {52.5,16.434363034569206,0.0}; 8
1; {66.0433023219572,102.5,0.0}; 8
2; {65.99076434293283,97.5,0.0}; 8
3; {65.90126726421023,105.5,0.0}; 8
4; {304.18656916697574,8.5,0.0}; 8
5; {223.5,197.89243837024216,0.0}; 8
0; {54.497848209485724,16.5,0.0}; 9
1; {66.0433023219572,102.5,0.0}; 9
2; {65.99076434293283,97.5,0.0}; 9
3; {65.90126726421023,105.5,0.0}; 9
