;Global Terrorist traveled distance;Train station occupancy rate;Global Event duration;Global People number affected by a terrorist
OpeningOfEmergencyExits;0;15.950000000000001;46.062;10.4
Min or max;1;1;1;1
DoorClosure;23.167239319448957;0;64.4868;12.8
Preference function;0;2;0;0
LawEnforcementCall;28.51352531624487;37.7;49.1328;10.4
CaringForPeopleAffectedByTerrorismOrFire;0;0;0;11.2
Preference threshold;0;20;0;0
Indifference threshold;0;0;0;0
Weight;2;4;5;7
